claim_text,evidence_text,support_label,pair_type
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A made up article claimed that sleeping with onions.,0,mismatch
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,0,mismatch
A fake report claimed drinking only coffee for seven days makes the brain operate at one thousand percent.,A false post insisted that the sun had been.,0,mismatch
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,1,supportive
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A viral message said all oceans would turn into.,1,supportive
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A viral message said all oceans would turn into. A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,1,supportive
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,0,mismatch
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A made up article claimed that sleeping with onions.,0,mismatch
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,0,mismatch
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,A false post insisted that the sun had been.,0,mismatch
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,0,mismatch
A viral message said all oceans would turn into fresh juice because of a secret machine hidden underwater.,Rumors spread online that eating silver paper allows.,0,mismatch
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,1,supportive
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A made up article claimed that sleeping with onions.,1,supportive
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A made up article claimed that sleeping with onions. A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,1,supportive
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,0,mismatch
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A false post insisted that the sun had been.,0,mismatch
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,0,mismatch
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,Rumors spread online that eating silver paper allows.,0,mismatch
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,0,mismatch
A made up article claimed that sleeping with onions in socks can instantly remove every virus from the body.,A fabricated headline claimed that parliament approved a.,0,mismatch
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,1,supportive
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A false post insisted that the sun had been.,1,supportive
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A false post insisted that the sun had been. A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,1,supportive
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,0,mismatch
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,Rumors spread online that eating silver paper allows.,0,mismatch
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,0,mismatch
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A fabricated headline claimed that parliament approved a.,0,mismatch
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,0,mismatch
A false post insisted that the sun had been switched off for maintenance and replaced with artificial lights.,A fake story alleged that internet towers can.,0,mismatch
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,1,supportive
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,Rumors spread online that eating silver paper allows.,1,supportive
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,Rumors spread online that eating silver paper allows. Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,1,supportive
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,0,mismatch
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,A fabricated headline claimed that parliament approved a.,0,mismatch
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,0,mismatch
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,A fake story alleged that internet towers can.,0,mismatch
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,0,mismatch
Rumors spread online that eating silver paper allows humans to speak fluently with animals within two hours.,Government health department confirms a new vaccination program.,0,mismatch
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,1,supportive
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,A fabricated headline claimed that parliament approved a.,1,supportive
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,A fabricated headline claimed that parliament approved a. A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,1,supportive
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,0,mismatch
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,A fake story alleged that internet towers can.,0,mismatch
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,0,mismatch
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,Government health department confirms a new vaccination program.,0,mismatch
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,0,mismatch
A fabricated headline claimed that parliament approved a law requiring citizens to laugh exactly ten times daily.,Scientists at the national weather center reported that monsoon rainfall.,0,mismatch
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,1,supportive
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,A fake story alleged that internet towers can.,1,supportive
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,A fake story alleged that internet towers can. A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,1,supportive
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,Government health department confirms a new vaccination program will begin next month after approval from public hospitals.,0,mismatch
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,Government health department confirms a new vaccination program.,0,mismatch
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,Scientists at the national weather center reported that monsoon rainfall is expected to remain close to seasonal averages this year.,0,mismatch
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,Scientists at the national weather center reported that monsoon rainfall.,0,mismatch
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,The city transport authority announced new electric buses on three major routes to reduce air pollution.,0,mismatch
A fake story alleged that internet towers can transform ordinary pets into invisible creatures during thunderstorms.,The city transport authority announced new electric buses.,0,mismatch
